name,type,typecode,address,pname,cityname,adname,gcj02_lon,gcj02_lat,wgs84_lon,wgs84_lat
北京外国语大学东校区网球场,体育休闲服务;运动场馆;网球场,80103,西三环北路19号北京外国语大学校内,北京市,北京市,海淀区,116.311968,39.954826,116.3058641,39.95354296
北京外国语大学东校区游泳馆,体育休闲服务;运动场馆;游泳馆,80110,西三环北路2号北京外国语大学东校区,北京市,北京市,海淀区,116.313354,39.954906,116.3072471,39.95362043
鑫溢游泳培训(北外分部),体育休闲服务;运动场馆;游泳馆,80110,西三环北路2号北京外国语大学东校区,北京市,北京市,海淀区,116.313382,39.954902,116.3072751,39.95361638
小海豚游泳培训俱乐部(北京外国语大学游泳馆),体育休闲服务;运动场馆;游泳馆,80110,西三环北路2号北京外国语大学东校区,北京市,北京市,海淀区,116.313366,39.954885,116.3072591,39.95359941
LUCY水世界,体育休闲服务;运动场馆;游泳馆,80110,北辛庄路,北京市,北京市,海淀区,116.216185,39.967034,116.2101109,39.96579581
Lucy水世界(闵庄馆),体育休闲服务;运动场馆;游泳馆|科教文化服务;培训机构;培训机构,080110|141400,北辛庄路尚丽外国语学校东南,北京市,北京市,海淀区,116.216201,39.966969,116.2101269,39.96573084
万叶体育中心,体育休闲服务;运动场馆;综合体育馆,80101,西三环北路25号中国青年政治学院内,北京市,北京市,海淀区,116.306008,39.950949,116.299917,39.94967671
乐享银弧乒乓球俱乐部,体育休闲服务;运动场馆;乒乓球馆,80112,益园文化创意产业基地,北京市,北京市,海淀区,116.236153,39.952465,116.2301093,39.9512442
中国青年政治学院篮球场(建设中),体育休闲服务;运动场馆;篮球场馆,80104,西三环北路25号中国青年政治学院内,北京市,北京市,海淀区,116.307832,39.951428,116.3017373,39.95015251
动格乒乓(橡树湾校区),体育休闲服务;运动场馆;乒乓球馆,80112,朱房路(近华润五彩城)橡树湾会所二楼,北京市,北京市,海淀区,116.333641,40.028694,116.3274789,40.02736679
冰酷(北京清河万象汇西区),体育休闲服务;运动场馆;溜冰场,80107,清河中街68号北京清河万象汇西区L4层,北京市,北京市,海淀区,116.33257,40.030257,116.3264102,40.02893176
五彩冰酷·运动中心(清河万象汇),体育休闲服务;运动场馆;溜冰场,80107,清河中街68号清河万象汇F4层L406,北京市,北京市,海淀区,116.332978,40.029834,116.3268173,40.028508
清华大学紫荆网球场,体育休闲服务;运动场馆;网球场,80103,清华大学东北门,北京市,北京市,海淀区,116.331728,40.010644,116.3255726,40.00932129
舞赋星空D·G dance舞蹈工作室(上地店),体育休闲服务;运动场馆;综合体育馆,80101,上地三街金隅嘉华大厦B座302室,北京市,北京市,海淀区,116.309011,40.03647,116.3029031,40.03518876
KALLAND篮球馆,体育休闲服务;运动场馆;篮球场馆,80104,世纪金源国际公寓(板井路北)69号,北京市,北京市,海淀区,116.279762,39.952625,116.2737135,39.9513905
玩家共和国篮球公园,体育休闲服务;运动场馆;篮球场馆,80104,板井路金源大饭店能量城市生活馆B2层233,北京市,北京市,海淀区,116.279764,39.952607,116.2737155,39.9513725
传奇小勇士-首钢体育运动中心,体育休闲服务;运动场馆;综合体育馆,80101,传奇小勇士(金源能量店),北京市,北京市,海淀区,116.27973,39.952556,116.2736815,39.95132154
清华大学综体东网球场,体育休闲服务;运动场馆;网球场,80103,清华大学校内,北京市,北京市,海淀区,116.33361,40.004588,116.327451,40.00326196
莱特国际游泳健身会所(如园店),体育休闲服务;运动场馆;游泳馆,80110,西北旺三街如园居北里16号楼,北京市,北京市,海淀区,116.261763,40.045138,116.2557162,40.04391355
北京市八维学院足球场,体育休闲服务;运动场馆;足球场,80105,八维学院宿舍8号东北旺路南150米,北京市,北京市,海淀区,116.300106,40.042267,116.2940151,40.04100065
五道口华清嘉园足球场,体育休闲服务;运动场馆;足球场,80105,五道口华清嘉园小区内,北京市,北京市,海淀区,116.335518,39.992203,116.3293563,39.99087386
李克精英篮球训练营(四季青校区),体育休闲服务;运动场馆;篮球场馆,80104,杏石口路23号西山塑料厂内,北京市,北京市,海淀区,116.26017,39.949593,116.2541356,39.94837342
中关村软件园智云足球场,体育休闲服务;运动场馆;足球场,80105,软件园北街与软件园西路交叉口附近,北京市,北京市,海淀区,116.2775,40.049175,116.2714419,40.0479386
上地桥体育乐园,体育休闲服务;运动场馆;综合体育馆,80101,京新上地桥,北京市,北京市,海淀区,116.318192,40.035506,116.3120643,40.03420796
中关村软件园体育公园智云足球场,体育休闲服务;运动场馆;足球场,80105,后厂村路北京地球站路南,北京市,北京市,海淀区,116.277516,40.049316,116.2714578,40.04807957
踢球者青少年足球俱乐部(上地校区),体育休闲服务;运动场馆;足球场,80105,上地三街路口东(京新上地桥下),北京市,北京市,海淀区,116.31801,40.035858,116.3118827,40.03456028
凯文学校-足球场,体育休闲服务;运动场馆;足球场,80105,杏石口路65号(北京凯文学校内),北京市,北京市,海淀区,116.241074,39.954663,116.2350342,39.95344411
北京理工大学中关村校区篮球场(校园南路),体育休闲服务;运动场馆;篮球场馆,80104,中关村南大街5号北京理工大学中关村校区,北京市,北京市,海淀区,116.313195,39.958339,116.307088,39.95705359
友谊宾馆游泳馆,体育休闲服务;运动场馆;游泳馆,80110,中关村南大街1号友谊宾馆康体中心,北京市,北京市,海淀区,116.319058,39.962139,116.3129376,39.96084251
网动网球(北京友谊宾馆店),体育休闲服务;运动场馆;网球场,80103,中关村南大街1号友谊宾馆康体中心内,北京市,北京市,海淀区,116.319069,39.962135,116.3129486,39.96083849
锦江辽宁大厦-泳池,体育休闲服务;运动场馆;游泳馆,80110,北四环西路甲2号辽宁大厦B1层,北京市,北京市,海淀区,116.33726,39.984901,116.3310952,39.98356886
新珂花样游泳俱乐部(凯文校区),体育休闲服务;运动场馆;游泳馆,80110,凯文学校(西门),北京市,北京市,海淀区,116.240652,39.953708,116.234612,39.95248901
北京大学五四足球场,体育休闲服务;运动场馆;足球场,80105,中关村北大街西200米,北京市,北京市,海淀区,116.314218,39.988152,116.3081051,39.98686351
邱德拔体育馆,体育休闲服务;运动场馆;综合体育馆,80101,颐和园路5号北京大学,北京市,北京市,海淀区,116.315103,39.988655,116.3089881,39.98736485
北京大学游泳馆,体育休闲服务;运动场馆;游泳馆,80110,颐和园路5号北京大学邱德拔体育馆B2层,北京市,北京市,海淀区,116.315251,39.988672,116.3091358,39.98738158
北京大学乒乓球馆,体育休闲服务;运动场馆;乒乓球馆,80112,颐和园路5号北京大学邱德拔体育馆,北京市,北京市,海淀区,116.315367,39.988653,116.3092515,39.98736236
北京大学中关新园酒店游泳池,体育休闲服务;运动场馆;游泳馆,80110,中关村北大街126号,北京市,北京市,海淀区,116.316292,39.990112,116.3101743,39.98881958
中悦体育游泳健身汇,体育休闲服务;运动场馆;游泳馆,80110,火器营地铁站A口中德集团,北京市,北京市,海淀区,116.287449,39.966329,116.2813888,39.96508471
